Transaction_ID,Date,Product_EAN,Product_Name,Category,Quantity,Unit_Price,Total_Revenue
TXN-20230001,2023-11-12,39825019371,Nivea Savon Liquide 400ml,Hygiene,1,9.3,9.3
TXN-20230001,2023-11-12,34411527045,Dove Gel Douche Bio,Hygiene,1,3.53,3.53
TXN-20230001,2023-11-12,34854879401,Danone Fromage Blanc x4,Dairy,1,3.37,3.37
TXN-20230001,2023-11-12,32938358560,Signal Déodorant 250ml,Hygiene,1,8.99,8.99
TXN-20230001,2023-11-12,38953709578,Nutella Sauce Tomate Tube,Grocery (Dry),1,5.93,5.93
TXN-20230001,2023-11-12,35501076325,Pasquier Baguette x10,Bakery,1,2.92,2.92
TXN-20230001,2023-11-12,35439639777,La Boulangère Baguette Complet,Bakery,1,1.98,1.98
TXN-20230001,2023-11-12,32054130921,La Boulangère Baguette Complet,Bakery,1,3.35,3.35
TXN-20230001,2023-11-12,34519326019,Nivea Déodorant 250ml,Hygiene,1,4.75,4.75
TXN-20230001,2023-11-12,38231689292,Volvic Thé Glacé Canette 33cl,Beverages,1,2.49,2.49
TXN-20230001,2023-11-12,39221942512,Origine France Courgettes Sachet,Fresh Produce,2,2.54,5.08
TXN-20230001,2023-11-12,36845670474,Boulangerie Loc. Pains au Chocolat x10,Bakery,1,3.32,3.32
TXN-20230001,2023-11-12,31413616687,Carrefour Bio Lait Demi-Ecrémé 1L,Dairy,4,3.38,13.52
TXN-20230001,2023-11-12,34854879401,Danone Fromage Blanc x4,Dairy,1,3.37,3.37
TXN-20230001,2023-11-12,33535791174,Elle & Vire Crème Fraîche x4,Dairy,2,2.44,4.88
TXN-20230001,2023-11-12,31031617834,La Boulangère Pain de Mie Nature,Bakery,1,1.38,1.38
TXN-20230001,2023-11-12,34193870705,Origine France Bananes Vrac,Fresh Produce,2,1.68,3.36
TXN-20230001,2023-11-12,39072671758,Cristaline Eau Minérale Canette 33cl,Beverages,6,4.16,24.96
TXN-20230001,2023-11-12,33788850299,Colgate Savon Liquide 250ml,Hygiene,1,5.62,5.62
TXN-20230001,2023-11-12,35137048699,La Boulangère Croissants Nature,Bakery,2,3.15,6.3
TXN-20230002,2023-10-30,34042625132,Nivea Shampoing 250ml,Hygiene,1,7.74,7.74
TXN-20230002,2023-10-30,33784342286,Barilla Haricots Verts Bocal,Grocery (Dry),1,1.52,1.52
TXN-20230002,2023-10-30,34792784069,Elle & Vire Crème Fraîche x8,Dairy,1,3.2,3.2
TXN-20230002,2023-10-30,31958066082,Cristaline Thé Glacé 1L,Beverages,1,1.96,1.96
TXN-20230002,2023-10-30,38769567856,La Boulangère Baguette Nature,Bakery,1,3.55,3.55
TXN-20230002,2023-10-30,35502652808,Panzani Haricots Verts Bocal,Grocery (Dry),1,1.15,1.15
TXN-20230002,2023-10-30,36110128233,Evian Bière Blonde Canette 33cl,Beverages,1,1.65,1.65
TXN-20230002,2023-10-30,37007862537,Origine France Carottes Sachet,Fresh Produce,1,1.39,1.39
TXN-20230002,2023-10-30,39008930794,Nivea Shampoing 400ml,Hygiene,1,8.59,8.59
TXN-20230002,2023-10-30,34022398294,Origine France Courgettes Vrac,Fresh Produce,1,1.98,1.98
TXN-20230002,2023-10-30,32484122496,Danone Yaourt Nature x4,Dairy,2,2.41,4.82
TXN-20230002,2023-10-30,35518507391,Carrefour Bio Mozzarella 250g,Dairy,1,4.38,4.38
TXN-20230002,2023-10-30,36696006168,Origine France Pommes 500g,Fresh Produce,1,4.87,4.87
TXN-20230002,2023-10-30,32773785009,Volvic Thé Glacé Canette 33cl,Beverages,2,5.47,10.94
TXN-20230002,2023-10-30,34757734320,Boulangerie Loc. Pains au Chocolat Complet,Bakery,4,1.92,7.68
TXN-20230002,2023-10-30,33788850299,Colgate Savon Liquide 250ml,Hygiene,1,5.62,5.62
TXN-20230002,2023-10-30,38004153625,Le Petit Marseillais Shampoing Bio,Hygiene,1,4.28,4.28
TXN-20230002,2023-10-30,34072795089,L'Oréal Dentifrice 250ml,Hygiene,1,5.41,5.41
TXN-20230002,2023-10-30,36943759175,Evian Thé Glacé 1L,Beverages,1,3.28,3.28
TXN-20230003,2023-10-20,33289049973,Cristaline Thé Glacé Canette 33cl,Beverages,1,3.86,3.86
TXN-20230003,2023-10-20,32271134947,Origine France Bananes 1kg,Fresh Produce,1,4.7,4.7
TXN-20230003,2023-10-20,33291412661,Origine France Salade 1kg,Fresh Produce,1,4.3,4.3
TXN-20230003,2023-10-20,39341128173,Carrefour Bio Tomates Sachet,Fresh Produce,1,4.75,4.75
TXN-20230003,2023-10-20,36948503442,Danone Beurre Doux 1L,Dairy,3,4.43,13.29
TXN-20230003,2023-10-20,33241461487,Boulangerie Loc. Pain de Mie x10,Bakery,1,3.36,3.36
TXN-20230003,2023-10-20,34265796228,Signal Shampoing 250ml,Hygiene,6,6.71,40.26
TXN-20230003,2023-10-20,37508260239,Lustucru Mayonnaise 1kg,Grocery (Dry),1,5.98,5.98
TXN-20230003,2023-10-20,31348340675,Origine France Courgettes Vrac,Fresh Produce,6,1.76,10.56
